7525	NN20MA63	LP TURBINE	NN20MA6	1.00	S	100.00	8	UJIN	Y	2	\N	100.00	100.00
8752	PN20BH7	HP/LP BYPASS CONTROL SISTEM	PN20BH	1.00	S	100.00	7	SPTN	Y		\N	100.00	100.00
5067	TY102J02	CWP 1B	TY102J	0.50	P	100.00	8	UJTY	Y	1	\N	100.00	100.00
7612	NN30HA2142	BURNER A2	NN30HA214	1.00	P	50.00	10	UJIN	Y	3	\N	100.00	50.00
7645	NN30HA253	PULVERIZER A	NN30HA25	1.00	S	50.00	9	UJIN	Y	3	\N	100.00	50.00
7591	NN30HL215	IDF A	NN30HL21	1.00	S	96.00	9	UJIN	Y	3	\N	100.00	96.00
9172	NP90BBT1112	SST	NP90BBT111	1.00	P	90.00	11	UJPT	Y	9	\N	100.00	90.00
6616	LR10MA	TURBINE SYSTEM	LR10	1.00	S	75.00	6	UJRB		1	\N	100.00	75.00
7175	NN10LA	FEED WATER SYSTEM 	NN10	1.00	S	90.00	6	UJIN		1	\N	100.00	90.00
5313	PS201G	CYCLONE	PS201	1.00	S	100.00	6	UJPS		2	\N	100.00	100.00
5093	TY201E	BOILER	TY201	1.00	S	85.00	6	UJTY		2	\N	100.00	85.00
8470	PN10MK1	GENERATOR LEADS	PN10MK	1.00	S	100.00	7	SPTN	Y		\N	100.00	100.00
5124	TY202F	DEAERATOR	TY202	1.00	S	100.00	6	UJTY		2	\N	100.00	100.00
7843	LP00EA2	JALUR LOADING	LP00EA	1.00	S	100.00	7	UJPC		0	\N	100.00	100.00
6578	LR10LA3	HPH #3 SYSTEM	LR10LA	1.00	S	100.00	7	UJRB		1	\N	100.00	100.00
6649	LR10MA4	VACCUM  SYSTEM	LR10MA	1.00	S	100.00	7	UJRB		1	\N	100.00	100.00
8401	PN10PA1	SCREEN WASH DAN DRUM SCREEN SISTEM	PN10PA	1.00	S	100.00	7	SPTN			\N	100.00	100.00
8027	LP10MA323	CONTROL VALVE 3	LP10MA32	0.25	P	100.00	9	UJPC	Y	1	\N	100.00	100.00
7535	NN20MA9	BLOCK 21	NN20MA	1.00	S	100.00	7	UJIN	Y	2	\N	100.00	100.00
6567	LR10PGB11	CCWHE A	LR10PG3	1.00	P	100.00	9	UJRB	Y	1	Y	100.00	100.00
8725	PN20MA183	LP TURBINE	PN20MA18	1.00	S	100.00	9	SPTN	Y		\N	100.00	100.00
7816	NN30HD134	ASH HOPPER FIELD 4	NN30HD13	0.50	P	100.00	9	UJIN	Y	3	\N	100.00	100.00
7944	LP10PA32	SCREEN WASH PUMP B	LP10PA3	1.00	P	100.00	8	UJPC	Y	1	\N	100.00	100.00
7249	NN10MA241	LUBE OIL COOLER A	NN10MA24	1.00	P	100.00	9	UJIN	Y	1	\N	100.00	100.00
7542	NN20BA42	EMERGENCY PC	NN20BA4	1.00	P	100.00	8	UJIN	Y	2	\N	100.00	100.00
6822	LR20MA323	CONTROL VALVE 3	LR20MA32	0.25	P	100.00	9	UJRB	Y	2	\N	100.00	100.00
8411	PN10PA2	AUX CIRCULATING WATER SISTEM	PN10PA	1.00	S	100.00	7	SPTN			\N	100.00	100.00
6634	LR10MA23	HP & LP BYPASS SYSTEM	LR10MA2	1.00	S	100.00	8	UJRB	Y	1	\N	100.00	100.00
8636	PN20PG4	CLOSED CIRCULATING HEAT EXCHANGER	PN20PG	1.00	S	100.00	7	SPTN			\N	100.00	100.00
5037	TY102D	HP HEATER	TY102	1.00	S	97.50	6	UJTY		1	\N	100.00	97.50
7956	LP10LA	FEED WATER SYSTEM 	LP10	1.00	S	100.00	6	UJPC		1	\N	100.00	100.00
7494	NN20MA11122	GS EXHAUST FAN B	NN20MA1112	1.00	P	100.00	11	UJIN	Y	2	\N	100.00	100.00
7734	NN30MK31	STATOR COOLING HE A	NN30MK3	1.00	P	100.00	8	UJIN	Y	3	\N	100.00	100.00
9028	NP90MAV101	TG	NP90MAV10	1.00	S	90.00	10	UJPT	Y	9	\N	100.00	90.00
9037	NP90HLB21	PAF B	NP90HLB2	1.00	S	75.00	9	UJPT	Y	9	\N	100.00	75.00
9143	NP90MKW241	SCW PUMP 1	NP90MKW24	1.00	P	95.00	10	UJPT	Y	9	\N	100.00	95.00
9152	NP90MKW31	H2 COOLING	NP90MKW3	1.00	S	95.00	9	UJPT	Y	9	\N	100.00	95.00
8429	PN10LA1	DEAERATOR	PN10LA	1.00	S	95.00	7	SPTN	Y		\N	100.00	95.00
8808	LR10HL1922	IDF A #2 COOLING FAN MOTOR	LR10HL192	1.00	P	100.00	10	UJRB	N	1	Y	100.00	100.00
