118	2021-01-09 06:15:52+07	3900	13-get-wo-jomjawa	JOM-JW
119	2021-01-09 06:15:55+07	534	14-get-wo-kaltim	UJKT
120	2021-01-09 06:16:00+07	581	14-get-wo-tenayan	UJTY
121	2021-01-09 06:16:03+07	499	14-get-wo-pulpis	UJPS
122	2021-01-10 01:00:13+07	1515	12-get-wo-ellipse	UP
123	2021-01-10 01:00:24+07	3904	13-get-wo-jomjawa	JOM-JW
124	2021-01-10 01:00:26+07	534	14-get-wo-kaltim	UJKT
125	2021-01-10 01:00:31+07	581	14-get-wo-tenayan	UJTY
126	2021-01-10 01:00:33+07	499	14-get-wo-pulpis	UJPS
127	2021-01-10 06:15:08+07	1516	12-get-wo-ellipse	UP
128	2021-01-10 06:15:18+07	3913	13-get-wo-jomjawa	JOM-JW
129	2021-01-10 06:15:21+07	534	14-get-wo-kaltim	UJKT
130	2021-01-10 06:15:26+07	581	14-get-wo-tenayan	UJTY
131	2021-01-10 06:15:30+07	499	14-get-wo-pulpis	UJPS
132	2021-01-11 01:01:44+07	1513	12-get-wo-ellipse	UP
133	2021-01-11 01:01:56+07	3953	13-get-wo-jomjawa	JOM-JW
134	2021-01-11 01:01:58+07	534	14-get-wo-kaltim	UJKT
135	2021-01-11 01:02:03+07	581	14-get-wo-tenayan	UJTY
136	2021-01-11 01:02:05+07	499	14-get-wo-pulpis	UJPS
137	2021-01-11 06:15:37+07	1546	12-get-wo-ellipse	UP
138	2021-01-11 06:15:49+07	3976	13-get-wo-jomjawa	JOM-JW
139	2021-01-11 06:15:52+07	534	14-get-wo-kaltim	UJKT
140	2021-01-11 06:15:57+07	581	14-get-wo-tenayan	UJTY
141	2021-01-11 06:15:59+07	514	14-get-wo-pulpis	UJPS
142	2021-01-12 01:00:51+07	1527	12-get-wo-ellipse	UP
143	2021-01-12 01:01:02+07	3937	13-get-wo-jomjawa	JOM-JW
144	2021-01-12 01:01:06+07	531	14-get-wo-kaltim	UJKT
145	2021-01-12 01:01:10+07	583	14-get-wo-tenayan	UJTY
146	2021-01-12 01:01:12+07	510	14-get-wo-pulpis	UJPS
